
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 23/2/2023 19:26:33
  ==========================================
  

[2023-02-24T02:28:55.524Z] : [warn]: There is a small amount of free memory (RAM) left, 93.11% of RAM is being used (7553 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T02:31:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 90.32% of RAM is being used (7327 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T02:36:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7410 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T02:38:55.517Z] : [warn]: There is a small amount of free memory (RAM) left, 90.37% of RAM is being used (7331 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T02:40:25.356Z] : [warn]: There is a small amount of free memory (RAM) left, 90.57% of RAM is being used (7347 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T02:50:55.573Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (7427 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:06:25.372Z] : [warn]: There is a small amount of free memory (RAM) left, 91.59% of RAM is being used (7430 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:20:55.525Z] : [warn]: There is a small amount of free memory (RAM) left, 90.74% of RAM is being used (7361 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:23:55.564Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (7340 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-02-24T03:26:55.614Z] : [warn]: There is a small amount of free memory (RAM) left, 90.03% of RAM is being used (7303 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

