
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:06
  ==========================================
  


  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:25
  ==========================================
  

[2023-01-27T18:01:18.381Z] : [success]: Your Ejemplo para EV file has been converted to project successfully

[2023-01-27T18:01:20.067Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7400 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:01:45.616Z] : [success]: Robot saved successfully

[2023-01-27T18:05:50.133Z] : [warn]: There is a small amount of free memory (RAM) left, 93.28% of RAM is being used (7567 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:06:06.921Z] : [info]: Internet connection // error

[2023-01-27T18:18:20.555Z] : [success]: Connection to our licenses server is restored

[2023-01-27T18:18:50.200Z] : [warn]: There is a small amount of free memory (RAM) left, 93.27% of RAM is being used (7566 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:21:20.022Z] : [warn]: There is a small amount of free memory (RAM) left, 90.27% of RAM is being used (7323 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:47:20.044Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (7334 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:50:20.021Z] : [warn]: There is a small amount of free memory (RAM) left, 91.62% of RAM is being used (7432 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:53:20.068Z] : [warn]: There is a small amount of free memory (RAM) left, 94.05% of RAM is being used (7629 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T18:55:20.026Z] : [warn]: There is a small amount of free memory (RAM) left, 95.11% of RAM is being used (7715 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T19:09:50.144Z] : [warn]: There is a small amount of free memory (RAM) left, 90.38% of RAM is being used (7332 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T19:52:50.195Z] : [warn]: There is a small amount of free memory (RAM) left, 92.68% of RAM is being used (7518 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T19:55:50.226Z] : [warn]: There is a small amount of free memory (RAM) left, 92.17% of RAM is being used (7477 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-27T19:56:50.241Z] : [warn]: There is a small amount of free memory (RAM) left, 93.04% of RAM is being used (7547 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

