
  ==========================================
  Studio Pro version: 9.0.5
  Started at: 18/1/2023 20:01:58
  ==========================================
  

[2023-01-19T08:30:25.121Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (14636 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:33:25.203Z] : [warn]: There is a small amount of free memory (RAM) left, 90.91% of RAM is being used (14774 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:36:25.112Z] : [warn]: There is a small amount of free memory (RAM) left, 90.18% of RAM is being used (14656 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:39:25.131Z] : [warn]: There is a small amount of free memory (RAM) left, 91.53% of RAM is being used (14876 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:42:25.153Z] : [warn]: There is a small amount of free memory (RAM) left, 92.28% of RAM is being used (14997 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:45:27.100Z] : [warn]: There is a small amount of free memory (RAM) left, 92.57% of RAM is being used (15045 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:48:27.130Z] : [warn]: There is a small amount of free memory (RAM) left, 93.54% of RAM is being used (15202 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:51:27.168Z] : [warn]: There is a small amount of free memory (RAM) left, 92.7% of RAM is being used (15066 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:54:27.201Z] : [warn]: There is a small amount of free memory (RAM) left, 93.8% of RAM is being used (15245 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T08:57:27.238Z] : [warn]: There is a small amount of free memory (RAM) left, 94.62% of RAM is being used (15378 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:00:27.282Z] : [warn]: There is a small amount of free memory (RAM) left, 95.18% of RAM is being used (15468 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:03:27.303Z] : [warn]: There is a small amount of free memory (RAM) left, 95.87% of RAM is being used (15581 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:06:27.324Z] : [warn]: There is a small amount of free memory (RAM) left, 94.93% of RAM is being used (15428 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:09:27.353Z] : [warn]: There is a small amount of free memory (RAM) left, 96.03% of RAM is being used (15607 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:12:27.383Z] : [warn]: There is a small amount of free memory (RAM) left, 97.05% of RAM is being used (15773 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:15:27.421Z] : [warn]: There is a small amount of free memory (RAM) left, 92.54% of RAM is being used (15039 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:18:27.459Z] : [warn]: There is a small amount of free memory (RAM) left, 93.4% of RAM is being used (15179 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:21:27.480Z] : [warn]: There is a small amount of free memory (RAM) left, 92.25% of RAM is being used (14993 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:24:27.501Z] : [warn]: There is a small amount of free memory (RAM) left, 93.14% of RAM is being used (15137 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:27:27.521Z] : [warn]: There is a small amount of free memory (RAM) left, 93.92% of RAM is being used (15264 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:30:27.540Z] : [warn]: There is a small amount of free memory (RAM) left, 94.76% of RAM is being used (15400 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:33:27.562Z] : [warn]: There is a small amount of free memory (RAM) left, 95.35% of RAM is being used (15497 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:36:27.586Z] : [warn]: There is a small amount of free memory (RAM) left, 94% of RAM is being used (15277 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:39:27.606Z] : [warn]: There is a small amount of free memory (RAM) left, 95.11% of RAM is being used (15457 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:42:27.627Z] : [warn]: There is a small amount of free memory (RAM) left, 96.01% of RAM is being used (15604 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:45:27.666Z] : [warn]: There is a small amount of free memory (RAM) left, 96.78% of RAM is being used (15728 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:48:27.703Z] : [warn]: There is a small amount of free memory (RAM) left, 97.29% of RAM is being used (15812 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:51:27.725Z] : [warn]: There is a small amount of free memory (RAM) left, 95.74% of RAM is being used (15559 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:54:27.746Z] : [warn]: There is a small amount of free memory (RAM) left, 96.6% of RAM is being used (15699 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-19T09:57:27.781Z] : [warn]: There is a small amount of free memory (RAM) left, 91.51% of RAM is being used (14872 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

