
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 2/1/2023 19:42:48
  ==========================================
  

[2023-01-03T01:59:31.578Z] : [success]: Robot saved successfully

[2023-01-03T02:16:34.391Z] : [warn]: There is a small amount of free memory (RAM) left, 90.83% of RAM is being used (7368 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:18:34.368Z] : [warn]: There is a small amount of free memory (RAM) left, 90.25% of RAM is being used (7321 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:22:04.384Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7410 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:24:04.384Z] : [warn]: There is a small amount of free memory (RAM) left, 91.8% of RAM is being used (7447 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:27:04.409Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (7424 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:29:04.386Z] : [warn]: There is a small amount of free memory (RAM) left, 90.85% of RAM is being used (7370 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:31:34.367Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (7317 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:34:34.391Z] : [warn]: There is a small amount of free memory (RAM) left, 92.14% of RAM is being used (7474 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:37:34.403Z] : [warn]: There is a small amount of free memory (RAM) left, 92.48% of RAM is being used (7502 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:40:34.421Z] : [warn]: There is a small amount of free memory (RAM) left, 92.47% of RAM is being used (7501 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:43:34.433Z] : [warn]: There is a small amount of free memory (RAM) left, 90.31% of RAM is being used (7326 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:46:34.444Z] : [warn]: There is a small amount of free memory (RAM) left, 93.05% of RAM is being used (7548 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T02:58:04.405Z] : [warn]: There is a small amount of free memory (RAM) left, 92% of RAM is being used (7463 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-03T03:19:49.510Z] : [warn]: There is a small amount of free memory (RAM) left, 93.61% of RAM is being used (7594 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

