
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 30/1/2023 16:46:25
  ==========================================
  

[2023-01-30T23:46:44.299Z] : [warn]: There is a small amount of free memory (RAM) left, 91.97% of RAM is being used (7461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T23:49:44.316Z] : [warn]: There is a small amount of free memory (RAM) left, 94.11% of RAM is being used (7634 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T23:54:39.441Z] : [success]: Robot saved successfully

[2023-01-30T23:54:44.316Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (7313 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T23:55:22.514Z] : [success]: Robot saved successfully

[2023-01-30T23:58:14.351Z] : [warn]: There is a small amount of free memory (RAM) left, 90.51% of RAM is being used (7342 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T23:59:44.298Z] : [warn]: There is a small amount of free memory (RAM) left, 90.67% of RAM is being used (7355 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:03:14.347Z] : [warn]: There is a small amount of free memory (RAM) left, 94.39% of RAM is being used (7657 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:06:14.503Z] : [warn]: There is a small amount of free memory (RAM) left, 94.29% of RAM is being used (7649 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:15:14.338Z] : [warn]: There is a small amount of free memory (RAM) left, 92.17% of RAM is being used (7477 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:18:14.452Z] : [warn]: There is a small amount of free memory (RAM) left, 92.94% of RAM is being used (7539 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:21:14.464Z] : [warn]: There is a small amount of free memory (RAM) left, 91.01% of RAM is being used (7383 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:23:44.298Z] : [warn]: There is a small amount of free memory (RAM) left, 91.12% of RAM is being used (7392 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:49:44.317Z] : [warn]: There is a small amount of free memory (RAM) left, 91.97% of RAM is being used (7461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T00:52:44.357Z] : [warn]: There is a small amount of free memory (RAM) left, 92.01% of RAM is being used (7464 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:20:44.684Z] : [warn]: There is a small amount of free memory (RAM) left, 92.49% of RAM is being used (7503 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:27:14.771Z] : [warn]: There is a small amount of free memory (RAM) left, 91.68% of RAM is being used (7437 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:35:44.769Z] : [warn]: There is a small amount of free memory (RAM) left, 92.06% of RAM is being used (7468 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:51:44.959Z] : [warn]: There is a small amount of free memory (RAM) left, 91.89% of RAM is being used (7454 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:53:14.935Z] : [warn]: There is a small amount of free memory (RAM) left, 91.59% of RAM is being used (7430 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-31T01:54:44.890Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (7424 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

